,0
0,1.0
1,0.9911245832848815
2,1.0
3,0.9821478285324468
4,1.0
5,0.9982432276149199
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9736335959211405
12,1.0
13,0.9955162966364486
14,0.9946054867210954
15,0.9946054867210954
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9928245601139909
21,0.987515451328917
22,1.0
23,0.9856199670909329
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,0.9982432276149199
32,1.0
33,1.0
34,1.0
35,0.9955162966364486
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,0.9964261891674605
43,1.0
44,0.997335165699443
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
