# FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
2.533821733821733859e-04,2.654945054945054826e-04,1.260073260073259812e-04,2.420512820512820329e-04,2.225152625152625185e-04,3.455921855921855889e-04,1.517948717948717976e-04,2.025885225885225782e-04,2.092307692307692249e-04,2.725274725274725012e-04,1.443711843711843528e-04,2.420512820512820329e-04,2.010256410256410094e-04,2.451770451770451703e-04,1.939926739926739637e-04,2.428327228327228037e-04,2.346275946275946152e-04,1.322588522588522561e-04,1.256166056166056093e-04,1.588278388278388162e-04,1.498412698412698299e-04,1.580463980463980454e-04,1.939926739926739637e-04
3.155067155067155195e-04,5.089133089133089389e-04,1.682051282051282015e-04,3.412942612942612545e-04,2.623687423687423451e-04,5.440781440781440863e-04,1.818803418803418670e-04,2.549450549450549275e-04,3.932600732600732862e-04,4.694505494505494029e-04,2.166544566544566426e-04,2.713553113553113585e-04,2.045421245421245459e-04,3.518437118437118096e-04,2.299389499389499361e-04,2.932356532356532124e-04,3.721611721611721218e-04,2.709645909645909596e-04,1.685958485958485734e-04,3.108180708180707861e-04,3.135531135531135789e-04,1.693772893772893713e-04,2.299389499389499361e-04
3.956043956043956257e-04,5.647863247863248518e-04,2.189987789987789821e-04,3.741147741147740624e-04,3.147252747252747215e-04,6.847374847374846762e-04,2.240781440781440602e-04,2.959706959706959509e-04,3.022222222222222259e-04,2.748717948717948408e-04,2.447863247863247714e-04,2.838583638583638542e-04,1.916483516483516512e-04,2.361904761904761569e-04,2.510378510378509921e-04,2.483028083028083078e-04,3.905250305250304935e-04,3.014407814407814279e-04,2.193894993894993811e-04,3.053479853479853091e-04,2.944078144078143551e-04,2.490842490842490515e-04,2.510378510378509921e-04
3.686446886446886396e-04,4.768742368742368747e-04,2.565079365079364691e-04,4.674969474969474623e-04,2.580708180708180650e-04,3.709890109890109791e-04,2.483028083028083078e-04,3.565323565323564887e-04,2.783882783882783772e-04,2.901098901098900749e-04,2.436141636141636016e-04,2.541636141636141838e-04,1.889133089133089127e-04,2.334554334554334455e-04,2.490842490842490515e-04,2.322832722832722757e-04,2.963614163614163499e-04,2.865934065934065927e-04,2.568986568986568681e-04,3.862271062271062133e-04,3.026129426129426248e-04,1.654700854700854630e-04,2.490842490842490515e-04
3.432478632478631951e-04,5.530647130647129914e-04,2.815140415140415147e-04,6.702808302808302941e-04,2.955799755799755520e-04,4.674969474969474623e-04,3.487179487179487263e-04,3.854456654456654154e-04,2.744810744810744418e-04,2.483028083028083078e-04,2.014163614163614084e-04,3.100366300366299882e-04,1.842246642246642065e-04,2.080586080586080552e-04,3.244932844932844787e-04,3.026129426129426248e-04,3.233211233211232818e-04,2.318925518925518767e-04,2.819047619047619136e-04,4.514774114774114302e-04,3.834920634920634748e-04,1.326495726495726551e-04,3.244932844932844787e-04
2.822954822954823126e-04,6.288644688644688717e-04,4.264713064713064931e-04,5.761172161172160421e-04,3.690354090354090386e-04,4.385836385836385356e-04,3.475457875457875294e-04,3.084737484737484466e-04,5.053968253968254025e-04,1.639072039072038943e-04,1.795360195360195274e-04,3.225396825396825381e-04,2.127472527472527614e-04,2.346275946275946152e-04,3.854456654456654154e-04,3.608302808302808230e-04,2.252503052503052299e-04,2.779975579975579782e-04,4.268620268620268378e-04,4.444444444444444115e-04,3.670818070818070438e-04,1.838339438339438347e-04,3.854456654456654154e-04
3.491086691086691253e-04,6.230036630036629415e-04,6.245665445665446458e-04,5.175091575091574992e-04,2.916727716727716708e-04,6.378510378510377768e-04,3.870085470085469570e-04,3.553601953601953460e-04,2.248595848595848581e-04,2.275946275946275695e-04,3.115995115995115841e-04,2.932356532356532124e-04,2.072771672771672573e-04,2.850305250305250511e-04,3.358241758241758317e-04,3.311355311355311526e-04,3.303540903540903547e-04,2.565079365079364691e-04,6.249572649572649906e-04,4.940659340659341037e-04,4.139682539682539432e-04,1.947741147741147616e-04,3.358241758241758317e-04
7.089621489621488696e-04,7.367032967032967079e-04,6.409768009768009684e-04,5.952625152625153201e-04,4.714041514041513435e-04,6.855189255189254741e-04,3.983394383394383100e-04,3.627838827838827636e-04,2.647130647130647389e-04,2.916727716727716708e-04,4.256898656898656951e-04,3.237118437118436808e-04,2.916727716727716708e-04,4.362393162393161960e-04,3.112087912087911851e-04,4.014652014652014475e-04,3.897435897435896955e-04,3.213675213675213412e-04,6.413675213675213132e-04,6.448840048840048496e-04,4.389743589743589345e-04,2.830769230769230563e-04,3.112087912087911851e-04
6.988034188034188219e-04,8.035164835164834663e-04,5.206349206349205824e-04,7.937484737484737634e-04,8.730647130647129633e-04,5.745543345543345547e-04,3.659096459096459011e-04,3.846642246642246175e-04,3.924786324786324883e-04,2.815140415140415147e-04,4.217826617826617597e-04,2.791697191697191209e-04,3.213675213675213412e-04,3.541880341880341491e-04,4.463980463980464063e-04,4.491330891330890906e-04,4.409279609279609293e-04,4.483516483516483469e-04,5.210256410256409272e-04,5.460317460317460269e-04,5.499389499389499081e-04,3.956043956043956257e-04,4.463980463980464063e-04
1.191501831501831339e-03,8.007814407814407278e-04,6.503540903540903266e-04,7.183394383394382278e-04,1.026227106227106103e-03,1.495873015873015787e-03,5.554090354090353851e-04,4.448351648351648105e-04,7.152136752136751445e-04,4.491330891330890906e-04,4.088888888888889193e-04,4.682783882783882602e-04,7.761660561660560812e-04,4.174847374847374796e-04,4.237362637362637003e-04,4.409279609279609293e-04,8.867399267399267643e-04,6.999755799755799646e-04,6.507448107448106714e-04,5.081318681318681410e-04,8.804884004884004894e-04,3.452014652014651899e-04,4.237362637362637003e-04
