# FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8-0,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8-1
5.491575091575091102e-04,4.932844932844933057e-04,3.987301587301587090e-04,5.178998778998778439e-04,5.600976800976800642e-04,4.335042735042734575e-04,4.932844932844933057e-04,4.436630036630036678e-04,5.358730158730158708e-04,2.397069597069596933e-04,2.037606837606837479e-04,2.545543345543345285e-04,5.261050061050060594e-04,5.616605616605616601e-04,6.038583638583638804e-04,5.921367521367520200e-04,2.315018315018315049e-04,2.131379731379731332e-04,3.991208791208791080e-04,6.081562881562881063e-04,6.237851037851037395e-04,6.288644688644688717e-04,6.038583638583638804e-04
6.968498168498168813e-04,9.476923076923077010e-04,9.262026862026861377e-04,6.960683760683760834e-04,5.597069597069596111e-04,4.202197802197801639e-04,2.748717948717948408e-04,5.253235653235652615e-04,5.511111111111110508e-04,2.557264957264957254e-04,2.041514041514041469e-04,2.510378510378509921e-04,6.784859584859584012e-04,6.206593406593405478e-04,8.242246642246642318e-04,5.612698412698413153e-04,3.553601953601953460e-04,1.705494505494505411e-04,9.265934065934065909e-04,8.550915750915750449e-04,6.691086691086690430e-04,6.542612942612942078e-04,8.242246642246642318e-04
5.956532356532356649e-04,1.089133089133088872e-03,8.418070818070816971e-04,5.515018315018315040e-04,5.995604395604395460e-04,4.612454212454212416e-04,3.475457875457875294e-04,3.944322344322344289e-04,6.011233211233211419e-04,3.284004884004884141e-04,3.717704517704517229e-04,3.831013431013430759e-04,6.065934065934066189e-04,7.163858363858362872e-04,7.081807081807081801e-04,6.401953601953601705e-04,3.522344322344322085e-04,1.822710622710622659e-04,8.421978021978021502e-04,6.585592185592185422e-04,7.050549450549449884e-04,6.382417582417582299e-04,7.081807081807081801e-04
7.101343101343101207e-04,1.000048840048840077e-03,8.437606837606836377e-04,6.382417582417582299e-04,5.432967032967032884e-04,5.894017094017092815e-04,2.627594627594627441e-04,5.132112332112331648e-04,6.362881562881562893e-04,3.002686202686202853e-04,2.764346764346763824e-04,2.791697191697191209e-04,6.144078144078143813e-04,8.281318681318681129e-04,9.000244200244200037e-04,6.292551892551892165e-04,3.995115995115995069e-04,2.455677655677655693e-04,8.441514041514040908e-04,8.218803418803418380e-04,8.128937728937728245e-04,9.058852258852258255e-04,9.000244200244200037e-04
5.886202686202685920e-04,7.972649572649571914e-04,7.863247863247863458e-04,4.557753357753357103e-04,5.206349206349205824e-04,3.713797313797313239e-04,2.174358974358974134e-04,3.338705738705738369e-04,5.268864468864468574e-04,3.135531135531135789e-04,1.592185592185592152e-04,2.342368742368742163e-04,4.362393162393161960e-04,4.733577533577533383e-04,5.237606837606836657e-04,3.377777777777777723e-04,3.412942612942612545e-04,1.580463980463980454e-04,7.867155067155066905e-04,8.023443223443223237e-04,6.105006105006105001e-04,5.597069597069596111e-04,5.237606837606836657e-04
6.230036630036629415e-04,8.441514041514040908e-04,8.238339438339437786e-04,4.295970695970695763e-04,6.073748473748473084e-04,4.987545787545786743e-04,2.490842490842490515e-04,4.030280830280829891e-04,5.261050061050060594e-04,2.807326007326007710e-04,2.432234432234432026e-04,2.447863247863247714e-04,5.788522588522587806e-04,6.925518925518925470e-04,9.277655677655677335e-04,4.717948717948717424e-04,2.897191697191696760e-04,1.928205128205128210e-04,8.242246642246642318e-04,5.823687423687423171e-04,5.831501831501831150e-04,9.078388278388277660e-04,9.277655677655677335e-04
7.660073260073260335e-04,1.322002442002441882e-03,1.193455433455433605e-03,5.870573870573869962e-04,6.882539682539682126e-04,4.612454212454212416e-04,3.627838827838827636e-04,5.862759462759461982e-04,5.733821733821734120e-04,3.323076923076922953e-04,2.928449328449328135e-04,2.994871794871794874e-04,6.636385836385836744e-04,7.874969474969474885e-04,1.087570207570207493e-03,6.784859584859584012e-04,2.498656898656898494e-04,1.463247863247863205e-04,1.193846153846153842e-03,8.953357753357753246e-04,4.753113553113553331e-04,8.113308913308912287e-04,1.087570207570207493e-03
6.902075702075702616e-04,9.594139194139193446e-04,1.034432234432234535e-03,5.944810744810745222e-04,6.300366300366300144e-04,4.506959706959706865e-04,3.041758241758241665e-04,4.272527472527472368e-04,6.530891330891330651e-04,3.209768009768009423e-04,2.193894993894993811e-04,2.084493284493284270e-04,4.565567765567765625e-04,6.519169719169718141e-04,1.280976800976800804e-03,7.312332112332112308e-04,2.537728937728937848e-04,1.529670329670329673e-04,1.034822954822954555e-03,9.191697191697191733e-04,6.484004884004883860e-04,7.261538461538462070e-04,1.280976800976800804e-03
6.300366300366300144e-04,6.878632478632477594e-04,6.417582417582417664e-04,5.636141636141636007e-04,6.882539682539682126e-04,4.288156288156288326e-04,2.053235653235653167e-04,3.991208791208791080e-04,6.534798534798534099e-04,3.135531135531135789e-04,2.260317460317460008e-04,2.369719169719169819e-04,6.534798534798534099e-04,7.546764346764347348e-04,8.554822954822954980e-04,7.363125763125762547e-04,3.248840048840048777e-04,1.541391941391941371e-04,6.421489621489621111e-04,6.718437118437117815e-04,6.214407814407813457e-04,7.355311355311354568e-04,8.554822954822954980e-04
6.945054945054944875e-04,6.101098901098900469e-04,7.874969474969474885e-04,5.491575091575091102e-04,6.597313797313797933e-04,4.104517704517704610e-04,3.545787545787545481e-04,4.577289377289377051e-04,5.073504273504273430e-04,3.405128205128204566e-04,1.807081807081807243e-04,1.877411477411477158e-04,5.163369963369962481e-04,6.284737484737485270e-04,1.106715506715506663e-03,5.784615384615384359e-04,2.272039072039071705e-04,1.717216117216117108e-04,7.878876678876679416e-04,5.655677655677655413e-04,6.077655677655677616e-04,8.543101343101343554e-04,1.106715506715506663e-03
